,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
275,275,-0.8517236730936453,-0.9,1,360.0,595.0,1.0,195.0,1
276,276,0.9295940969304073,0.9,0,484.0,931.0,0.0,375.0,1
277,277,0.06696779619370896,0.1,0,488.0,825.0,1.0,587.0,0
278,278,0.8645832559618967,0.9,0,483.0,681.0,0.0,406.0,1
279,279,0.15808234076027916,0.2,0,290.0,916.0,0.0,504.0,1
280,280,0.3471739625285575,0.3,0,435.0,921.0,0.0,604.0,1
281,281,0.8988114248904793,0.9,0,317.0,905.0,0.0,568.0,1
282,282,0.1625764476292637,0.2,0,410.0,697.0,1.0,3893.0,0
283,283,0.9604015843208484,1.0,0,293.0,735.0,0.0,462.0,1
284,284,0.6114580250967874,0.6,0,435.0,533.0,0.0,262.0,1
285,285,-0.5292605877548251,-0.5,1,437.0,746.0,1.0,577.0,1
286,286,0.8160752370157831,0.8,0,469.0,671.0,0.0,400.0,1
287,287,-0.032589793789389976,-0.0,1,355.0,663.0,1.0,1872.0,1
288,288,-0.4044909680225839,-0.4,1,420.0,730.0,1.0,320.0,1
289,289,0.8272992697711168,0.8,0,330.0,960.0,0.0,1440.0,1
290,290,0.5619995185312843,0.6,0,370.0,831.0,0.0,259.0,1
291,291,0.8897816293806873,0.9,0,486.0,804.0,0.0,670.0,1
292,292,-0.0537340727313762,-0.1,1,399.0,581.0,0.0,1260.0,0
293,293,0.9567031301373385,1.0,0,272.0,593.0,0.0,405.0,1
294,294,0.9942143589635939,1.0,0,416.0,983.0,0.0,411.0,1
295,295,-0.391221962043645,-0.4,1,395.0,600.0,1.0,305.0,1
296,296,-0.08154283985944821,-0.1,1,381.0,530.0,0.0,1369.0,0
297,297,-0.8554975698771632,-0.9,1,476.0,725.0,1.0,489.0,1
298,298,0.9615507309441871,1.0,0,395.0,775.0,0.0,490.0,1
299,299,-0.6674940905622162,-0.7,1,427.0,539.0,1.0,264.0,1
300,300,-0.9598849971177539,-1.0,1,452.0,813.0,1.0,785.0,1
301,301,0.273505215215075,0.3,0,463.0,860.0,0.0,487.0,1
302,302,0.8123525359882355,0.8,0,482.0,970.0,0.0,918.0,1
303,303,0.27352131176498884,0.3,0,423.0,850.0,0.0,297.0,1
304,304,0.046899669779526754,0.0,0,346.0,600.0,1.0,1174.0,0
305,305,-0.4295272627986426,-0.4,1,428.0,929.0,1.0,953.0,1
306,306,0.6177093098036714,0.6,0,352.0,775.0,0.0,503.0,1
307,307,0.4028730630563897,0.4,0,280.0,873.0,0.0,547.0,1
308,308,0.25452614438397325,0.3,0,417.0,563.0,0.0,970.0,1
309,309,-0.24459883583135578,-0.2,1,456.0,679.0,1.0,425.0,1
310,310,0.7819035314655118,0.8,0,423.0,551.0,0.0,2866.0,1
311,311,-0.47326221066280905,-0.5,1,305.0,953.0,1.0,692.0,1
312,312,-0.1401817163358312,-0.1,1,293.0,997.0,1.0,690.0,1
313,313,-0.9483923758758794,-0.9,1,408.0,809.0,1.0,363.0,1
314,314,0.6733072528031447,0.7,0,453.0,800.0,0.0,807.0,1
315,315,0.9805990067568711,1.0,0,412.0,868.0,0.0,390.0,1
316,316,0.7455549997762865,0.7,0,353.0,827.0,0.0,730.0,1
317,317,0.14804843989672567,0.1,0,422.0,569.0,0.0,1369.0,1
318,318,0.30479047538166126,0.3,0,369.0,655.0,1.0,946.0,0
319,319,0.031960214139109766,0.0,0,466.0,816.0,0.0,458.0,1
320,320,0.40199131502037444,0.4,0,381.0,784.0,0.0,975.0,1
321,321,-0.9298878313283574,-0.9,1,375.0,961.0,1.0,544.0,1
322,322,0.5635568584214625,0.6,0,307.0,539.0,0.0,554.0,1
323,323,-0.8922710776078644,-0.9,1,364.0,718.0,1.0,628.0,1
324,324,0.32877988809194836,0.3,0,288.0,851.0,0.0,1031.0,1
325,325,0.35450862642162617,0.4,0,459.0,809.0,0.0,462.0,1
326,326,-0.8992248782629191,-0.9,1,492.0,595.0,1.0,943.0,1
327,327,-0.5956598401250133,-0.6,1,403.0,688.0,1.0,439.0,1
328,328,0.5807065620501852,0.6,0,404.0,546.0,0.0,340.0,1
329,329,-0.5583739918928663,-0.6,1,441.0,602.0,1.0,947.0,1
330,330,-0.4939874305293368,-0.5,1,363.0,875.0,1.0,2272.0,1
331,331,-0.04122042407740589,-0.0,1,419.0,910.0,0.0,971.0,0
332,332,0.09436369093006225,0.1,0,357.0,866.0,0.0,2037.0,1
333,333,-0.5821346470008937,-0.6,1,497.0,868.0,1.0,1055.0,1
334,334,0.434866180911214,0.4,0,434.0,667.0,1.0,2059.0,0
335,335,-0.3962147425699447,-0.4,1,481.0,728.0,1.0,901.0,1
336,336,0.5789271534711449,0.6,0,356.0,742.0,0.0,872.0,1
337,337,0.09237090278373605,0.1,0,334.0,839.0,1.0,1357.0,0
338,338,0.8654551053602937,0.9,0,445.0,746.0,0.0,659.0,1
339,339,-0.8252286403506348,-0.8,1,335.0,745.0,1.0,610.0,1
340,340,-0.2855951740743401,-0.3,1,483.0,871.0,1.0,406.0,1
341,341,-0.2234944004922097,-0.2,1,279.0,744.0,1.0,547.0,1
342,342,0.0812091713698384,0.1,0,334.0,843.0,1.0,223.0,0
343,343,-0.11667723278855302,-0.1,1,402.0,567.0,1.0,991.0,1
344,344,0.9603839273294512,1.0,0,367.0,834.0,0.0,189.0,1
345,345,-0.2686419524325554,-0.3,1,319.0,611.0,1.0,1450.0,1
346,346,-0.6417647918421836,-0.6,1,413.0,807.0,1.0,850.0,1
347,347,0.007481446178100537,0.0,0,470.0,989.0,1.0,1011.0,0
348,348,-0.04911353620667258,-0.0,1,391.0,545.0,1.0,864.0,1
349,349,-0.9696971477110281,-1.0,1,472.0,575.0,1.0,503.0,1
350,350,-0.7996155133033134,-0.8,1,422.0,978.0,1.0,1320.0,1
351,351,0.5400694419017937,0.5,0,431.0,517.0,0.0,1102.0,1
352,352,-0.31829068063950694,-0.3,1,413.0,670.0,1.0,687.0,1
353,353,-0.19522205095719292,-0.2,1,469.0,980.0,1.0,171.0,1
354,354,0.17176345774778112,0.2,0,366.0,922.0,0.0,1002.0,1
355,355,0.07854546129396889,0.1,0,358.0,664.0,0.0,998.0,1
356,356,-0.8618621133033069,-0.9,1,473.0,990.0,1.0,247.0,1
357,357,0.30763621686490206,0.3,0,402.0,766.0,0.0,1172.0,1
358,358,-0.3639279836462215,-0.4,1,476.0,741.0,1.0,1663.0,1
359,359,-0.8694411920869725,-0.9,1,470.0,893.0,1.0,307.0,1
360,360,0.46620485428072467,0.5,0,260.0,983.0,0.0,717.0,1
361,361,0.13995762729443628,0.1,0,465.0,662.0,1.0,373.0,0
362,362,0.06107001668890444,0.1,0,314.0,500.0,1.0,1436.0,0
363,363,0.38371981458794946,0.4,0,317.0,743.0,0.0,330.0,1
364,364,-0.09608771689474627,-0.1,1,404.0,916.0,1.0,460.0,1
365,365,0.04851276177437658,0.0,0,406.0,614.0,1.0,1400.0,0
366,366,0.8294266990910586,0.8,0,286.0,783.0,0.0,551.0,1
367,367,0.10116580027231215,0.1,0,324.0,957.0,1.0,1769.0,0
368,368,0.7003263289377102,0.7,0,479.0,540.0,0.0,561.0,1
369,369,0.9301612284157244,0.9,0,252.0,869.0,0.0,649.0,1
370,370,-0.7770739415644212,-0.8,1,265.0,897.0,1.0,238.0,1
371,371,0.5921599196573042,0.6,0,458.0,896.0,0.0,636.0,1
372,372,0.8063435054359211,0.8,0,475.0,868.0,0.0,467.0,1
373,373,0.52810693785289,0.5,0,376.0,803.0,0.0,761.0,1
374,374,0.9166253728475446,0.9,0,258.0,649.0,0.0,283.0,1
375,375,-0.14150073911918293,-0.1,1,269.0,742.0,0.0,419.0,0
376,376,0.5357176063086517,0.5,0,324.0,895.0,0.0,951.0,1
377,377,0.1384316053165453,0.1,0,349.0,677.0,1.0,2654.0,0
378,378,-0.014798462703939697,-0.0,1,268.0,833.0,0.0,599.0,0
379,379,0.021202589681850403,0.0,0,282.0,966.0,1.0,3752.0,0
380,380,-0.21631061609196367,-0.2,1,449.0,604.0,1.0,1447.0,1
381,381,0.44850508153831936,0.4,0,394.0,806.0,0.0,960.0,1
382,382,0.12793884847789605,0.1,0,298.0,885.0,0.0,577.0,1
383,383,0.3378454624518221,0.3,0,476.0,687.0,0.0,567.0,1
384,384,-0.21850890426658398,-0.2,1,442.0,894.0,1.0,764.0,1
385,385,0.029371418135667904,0.0,0,362.0,989.0,0.0,709.0,1
386,386,0.020566368789681544,0.0,0,378.0,571.0,0.0,1771.0,1
387,387,-0.6170255095842114,-0.6,1,255.0,956.0,1.0,659.0,1
388,388,0.27644167892062743,0.3,0,455.0,882.0,0.0,1013.0,1
389,389,-0.8731823227603095,-0.9,1,401.0,698.0,1.0,431.0,1
390,390,0.6660354160384074,0.7,0,429.0,753.0,0.0,658.0,1
391,391,0.2265259692778856,0.2,0,271.0,555.0,0.0,2414.0,1
392,392,0.23532288177583194,0.2,0,468.0,740.0,0.0,1532.0,1
393,393,-0.8452111158572391,-0.8,1,286.0,800.0,1.0,354.0,1
394,394,0.8652217995313318,0.9,0,387.0,550.0,0.0,453.0,1
395,395,-0.8959132242362937,-0.9,1,323.0,630.0,1.0,937.0,1
396,396,0.554520753762715,0.6,0,489.0,500.0,0.0,1881.0,1
397,397,-0.4515276505790309,-0.5,1,339.0,626.0,1.0,705.0,1
398,398,-0.9030098088542844,-0.9,1,279.0,542.0,1.0,239.0,1
399,399,-0.8640839006510102,-0.9,1,421.0,586.0,1.0,413.0,1
400,400,-0.772919483144354,-0.8,1,418.0,872.0,1.0,270.0,1
401,401,-0.3938838448281481,-0.4,1,398.0,912.0,1.0,1760.0,1
402,402,-0.4280869614698146,-0.4,1,451.0,636.0,1.0,823.0,1
403,403,0.01700601231519605,0.0,0,301.0,694.0,1.0,725.0,0
404,404,0.055415856387773355,0.1,0,323.0,726.0,0.0,1571.0,1
405,405,-0.6810941646413418,-0.7,1,413.0,832.0,1.0,475.0,1
406,406,0.9212663505628971,0.9,0,457.0,672.0,0.0,331.0,1
407,407,0.03008419202477275,0.0,0,297.0,940.0,1.0,1293.0,0
408,408,-0.93685628390227,-0.9,1,401.0,667.0,1.0,832.0,1
409,409,-0.5200995005603342,-0.5,1,251.0,730.0,1.0,1809.0,1
410,410,0.47291999861837275,0.5,0,359.0,681.0,0.0,690.0,1
411,411,0.6492403891717011,0.6,0,312.0,757.0,0.0,291.0,1
412,412,-0.0809180017301292,-0.1,1,294.0,535.0,1.0,701.0,1
413,413,0.25316286717247727,0.3,0,327.0,880.0,0.0,2463.0,1
414,414,0.7938880876908105,0.8,0,370.0,530.0,0.0,450.0,1
415,415,-0.526895626252349,-0.5,1,354.0,758.0,1.0,278.0,1
416,416,-0.30548533134922873,-0.3,1,315.0,533.0,1.0,1342.0,1
417,417,-0.6115673184088475,-0.6,1,382.0,820.0,1.0,548.0,1
418,418,0.25116851137987184,0.3,0,282.0,990.0,0.0,648.0,1
419,419,-0.8497405901640751,-0.8,1,448.0,964.0,1.0,468.0,1
420,420,0.3971944376712051,0.4,0,471.0,980.0,0.0,1419.0,1
421,421,-0.024759535661721177,-0.0,1,390.0,835.0,1.0,535.0,1
422,422,-0.9996062004985073,-1.0,1,371.0,740.0,1.0,709.0,1
423,423,0.3170260967077285,0.3,0,484.0,567.0,0.0,299.0,1
424,424,-0.45941351762795524,-0.5,1,341.0,595.0,1.0,344.0,1
425,425,0.25133037447686735,0.3,0,486.0,738.0,0.0,316.0,1
426,426,0.6941669936117771,0.7,0,288.0,517.0,0.0,375.0,1
427,427,-0.9535295678142977,-1.0,1,397.0,563.0,1.0,450.0,1
428,428,0.9555434781681365,1.0,0,379.0,787.0,0.0,684.0,1
429,429,0.12387716448488173,0.1,0,387.0,520.0,0.0,1223.0,1
430,430,-0.14931663943131968,-0.1,1,420.0,956.0,1.0,514.0,1
431,431,0.4366076715336964,0.4,0,355.0,890.0,0.0,2505.0,1
432,432,-0.7736712551242884,-0.8,1,375.0,589.0,1.0,226.0,1
433,433,0.47786653643206156,0.5,0,438.0,500.0,0.0,1552.0,1
434,434,-0.7333372394950943,-0.7,1,352.0,657.0,1.0,491.0,1
435,435,0.33320211227930385,0.3,0,308.0,878.0,1.0,674.0,0
436,436,0.6732921612167864,0.7,0,384.0,773.0,0.0,1753.0,1
437,437,-0.47774613391441845,-0.5,1,375.0,988.0,1.0,1777.0,1
438,438,0.07731417255255679,0.1,0,298.0,906.0,1.0,2076.0,0
439,439,-0.3193987859359786,-0.3,1,474.0,775.0,1.0,961.0,1
440,440,0.6185800121021692,0.6,0,444.0,698.0,0.0,838.0,1
441,441,-0.0810587616816929,-0.1,1,355.0,858.0,1.0,407.0,1
442,442,0.448075182945894,0.4,0,363.0,837.0,0.0,1200.0,1
443,443,0.8839884091580128,0.9,0,469.0,885.0,0.0,806.0,1
444,444,-0.8780999618154854,-0.9,1,391.0,802.0,1.0,907.0,1
445,445,0.13955823654969013,0.1,0,414.0,664.0,1.0,1702.0,0
446,446,0.5189147869595196,0.5,0,497.0,987.0,0.0,536.0,1
447,447,-0.06828188171060079,-0.1,1,422.0,620.0,0.0,918.0,0
448,448,-0.8129855119073319,-0.8,1,415.0,791.0,1.0,1104.0,1
449,449,-0.6962513354256257,-0.7,1,281.0,548.0,1.0,231.0,1
450,450,-0.710818953385634,-0.7,1,352.0,619.0,1.0,689.0,1
451,451,-0.5875791235575103,-0.6,1,276.0,951.0,1.0,973.0,1
452,452,-0.8820167181007059,-0.9,1,440.0,565.0,1.0,2725.0,1
453,453,0.17533579220407147,0.2,0,476.0,821.0,0.0,943.0,1
454,454,0.6645042803865062,0.7,0,361.0,918.0,0.0,421.0,1
455,455,0.4456335880617548,0.4,0,375.0,697.0,0.0,498.0,1
456,456,0.3554960053857692,0.4,0,326.0,932.0,0.0,702.0,1
457,457,-0.22858946217576315,-0.2,1,281.0,989.0,1.0,580.0,1
458,458,-0.6950762637009169,-0.7,1,277.0,723.0,1.0,500.0,1
459,459,-0.36700096512464375,-0.4,1,401.0,693.0,1.0,1066.0,1
460,460,-0.963426483789348,-1.0,1,384.0,859.0,1.0,297.0,1
461,461,0.24454041006186156,0.2,0,426.0,518.0,0.0,626.0,1
462,462,-0.7104724631571273,-0.7,1,461.0,847.0,1.0,682.0,1
463,463,0.8435647433543962,0.8,0,377.0,800.0,0.0,1613.0,1
464,464,0.8054414497132334,0.8,0,499.0,592.0,0.0,1389.0,1
465,465,0.5571960905710502,0.6,0,404.0,785.0,0.0,941.0,1
466,466,-0.609670460439242,-0.6,1,276.0,932.0,1.0,482.0,1
467,467,-0.7331130460916748,-0.7,1,386.0,671.0,1.0,1103.0,1
468,468,-0.22281920774983366,-0.2,1,495.0,973.0,1.0,942.0,1
469,469,0.08685620116185921,0.1,0,381.0,559.0,1.0,2070.0,0
470,470,-0.8983234520226537,-0.9,1,485.0,697.0,1.0,148.0,1
471,471,-0.6582884474138553,-0.7,1,466.0,631.0,1.0,423.0,1
472,472,0.5762152635754976,0.6,0,381.0,791.0,0.0,678.0,1
473,473,0.8650280093224005,0.9,0,379.0,716.0,0.0,695.0,1
474,474,0.1884053172380149,0.2,0,476.0,589.0,0.0,3795.0,1
475,475,0.6435973855357422,0.6,0,462.0,923.0,0.0,775.0,1
476,476,-0.9987246210269487,-1.0,1,470.0,861.0,1.0,739.0,1
477,477,0.1624874921320767,0.2,0,359.0,671.0,0.0,1250.0,1
478,478,-0.03715413331065087,-0.0,1,313.0,519.0,1.0,488.0,1
479,479,-0.21712394356397247,-0.2,1,465.0,574.0,1.0,2611.0,1
480,480,-0.4654170439816976,-0.5,1,390.0,923.0,1.0,1117.0,1
481,481,0.2733642135245855,0.3,0,317.0,827.0,0.0,796.0,1
482,482,-0.23570550356177034,-0.2,1,466.0,928.0,1.0,1426.0,1
483,483,-0.6256903456096452,-0.6,1,407.0,844.0,1.0,1409.0,1
484,484,-0.6449027477611968,-0.6,1,400.0,981.0,1.0,459.0,1
485,485,0.20358263349665595,0.2,0,287.0,881.0,0.0,302.0,1
486,486,-0.8437729747968188,-0.8,1,419.0,554.0,1.0,247.0,1
487,487,0.8355259708225944,0.8,0,419.0,842.0,0.0,609.0,1
488,488,0.8120671477246524,0.8,0,340.0,690.0,0.0,770.0,1
489,489,-0.29910990891133693,-0.3,1,485.0,893.0,1.0,2002.0,1
490,490,0.4697575869070856,0.5,0,440.0,899.0,0.0,1951.0,1
491,491,-0.3871593485327527,-0.4,1,425.0,618.0,1.0,527.0,1
492,492,0.7790698511591598,0.8,0,319.0,552.0,0.0,279.0,1
493,493,0.5463640171122355,0.5,0,380.0,857.0,0.0,533.0,1
494,494,-0.08204671525589502,-0.1,1,323.0,566.0,0.0,2141.0,0
495,495,0.9961401637784038,1.0,0,489.0,995.0,0.0,676.0,1
496,496,0.9615533832833016,1.0,0,367.0,574.0,0.0,269.0,1
497,497,-0.7187156425942967,-0.7,1,386.0,626.0,1.0,548.0,1
498,498,0.8290131448903257,0.8,0,296.0,515.0,0.0,569.0,1
499,499,0.830321807926367,0.8,0,328.0,997.0,0.0,985.0,1
500,500,-0.10927092078137801,-0.1,1,383.0,832.0,0.0,1215.0,0
501,501,0.586500743710253,0.6,0,468.0,611.0,0.0,361.0,1
502,502,0.5283236503568207,0.5,0,270.0,562.0,0.0,318.0,1
503,503,-0.36000308703149875,-0.4,1,381.0,774.0,1.0,395.0,1
504,504,0.9010332361466427,0.9,0,453.0,848.0,0.0,1289.0,1
505,505,-0.5241502920702354,-0.5,1,490.0,701.0,1.0,429.0,1
506,506,-0.2145965235734819,-0.2,1,411.0,750.0,1.0,589.0,1
507,507,-0.9151644037492437,-0.9,1,442.0,782.0,1.0,196.0,1
508,508,0.36695581291168655,0.4,0,433.0,593.0,0.0,324.0,1
509,509,0.8484180957535281,0.8,0,390.0,593.0,0.0,857.0,1
510,510,-0.7340247021542314,-0.7,1,449.0,710.0,1.0,121.0,1
511,511,0.0831046263788291,0.1,0,390.0,506.0,0.0,1594.0,1
512,512,0.08454166876035507,0.1,0,430.0,509.0,1.0,3351.0,0
513,513,-0.06815008230369513,-0.1,1,425.0,735.0,1.0,1400.0,1
514,514,0.2199262071238388,0.2,0,299.0,921.0,0.0,780.0,1
515,515,-0.04937197098946755,-0.0,1,457.0,597.0,1.0,386.0,1
516,516,-0.7707258569703779,-0.8,1,319.0,525.0,1.0,856.0,1
517,517,0.11172308917236906,0.1,0,495.0,523.0,0.0,2142.0,1
518,518,-0.22201337099047525,-0.2,1,315.0,716.0,1.0,269.0,1
519,519,-0.5864281773242284,-0.6,1,418.0,552.0,1.0,1200.0,1
520,520,-0.3057462068937695,-0.3,1,350.0,847.0,1.0,2133.0,1
521,521,-0.039577535100343564,-0.0,1,313.0,717.0,1.0,1890.0,1
522,522,-0.13524931356397163,-0.1,1,290.0,845.0,1.0,1805.0,1
523,523,0.36378671735108403,0.4,0,494.0,947.0,0.0,1729.0,1
524,524,0.5359145893278712,0.5,0,418.0,675.0,0.0,627.0,1
525,525,0.16357477882354954,0.2,0,498.0,530.0,0.0,1182.0,1
526,526,0.8163611554677443,0.8,0,351.0,853.0,0.0,836.0,1
527,527,0.2785528391943266,0.3,0,479.0,636.0,0.0,685.0,1
528,528,-0.8866737919509007,-0.9,1,445.0,844.0,1.0,361.0,1
529,529,0.7362370033982188,0.7,0,413.0,813.0,0.0,494.0,1
530,530,0.074148409329442,0.1,0,333.0,722.0,1.0,1395.0,0
531,531,0.3994174196848719,0.4,0,355.0,989.0,0.0,996.0,1
532,532,-0.753341598678072,-0.8,1,427.0,666.0,1.0,557.0,1
533,533,0.6645419492198295,0.7,0,393.0,902.0,0.0,365.0,1
534,534,0.19822167662699886,0.2,0,482.0,782.0,1.0,1156.0,0
535,535,-0.38765461231572296,-0.4,1,326.0,747.0,1.0,517.0,1
536,536,-0.11350227790705758,-0.1,1,324.0,779.0,1.0,457.0,1
537,537,-0.061279628782717754,-0.1,1,342.0,737.0,1.0,391.0,1
538,538,-0.47095515720805103,-0.5,1,397.0,882.0,1.0,781.0,1
539,539,-0.9079444542931223,-0.9,1,381.0,681.0,1.0,298.0,1
540,540,0.7695049652523778,0.8,0,368.0,996.0,0.0,766.0,1
541,541,0.03085285687100936,0.0,0,349.0,896.0,0.0,555.0,1
542,542,0.8699231980151412,0.9,0,433.0,947.0,0.0,2160.0,1
543,543,0.961907790432019,1.0,0,402.0,965.0,0.0,753.0,1
544,544,0.9021348832213771,0.9,0,479.0,833.0,0.0,588.0,1
545,545,-0.4828907218472456,-0.5,1,257.0,807.0,0.0,746.0,0
546,546,0.18771059317031513,0.2,0,302.0,992.0,1.0,1886.0,0
547,547,-0.5945059086226154,-0.6,1,299.0,942.0,1.0,329.0,1
548,548,-0.33173132984091946,-0.3,1,319.0,781.0,1.0,490.0,1
549,549,-0.841340036576206,-0.8,1,470.0,988.0,1.0,542.0,1
550,550,-0.6041962548228965,-0.6,1,480.0,955.0,1.0,1345.0,1
551,551,0.08083585632615087,0.1,0,289.0,542.0,0.0,2849.0,1
