,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,init_y_left,init_y_right
59,59,0.35479231021530033,0.4,0,426.0,761.0,0.0,733.0,1,0.0,0.0
60,60,0.7286780383627423,0.7,0,483.0,784.0,0.0,203.0,1,0.0,0.0
61,61,-0.12688805578110318,-0.1,1,317.0,676.0,1.0,817.0,1,0.0,0.0
62,62,-0.23747683012491194,-0.2,1,256.0,953.0,1.0,2501.0,1,0.0,0.0
63,63,-0.3482638945053216,-0.3,1,365.0,505.0,1.0,430.0,1,0.0,0.0
64,64,0.8310517214875528,0.8,0,256.0,683.0,0.0,361.0,1,0.0,0.0
65,65,0.3342657738503041,0.3,0,267.0,746.0,0.0,1417.0,1,0.0,0.0
66,66,-0.4178407324055109,-0.4,1,292.0,547.0,1.0,491.0,1,0.0,0.0
67,67,-0.6866922600367213,-0.7,1,449.0,687.0,1.0,534.0,1,0.0,0.0
68,68,-0.38218664258712276,-0.4,1,405.0,937.0,1.0,248.0,1,0.0,0.0
69,69,0.1556681174887573,0.2,0,449.0,868.0,0.0,1443.0,1,0.0,0.0
70,70,-0.1580484162135547,-0.2,1,317.0,970.0,1.0,703.0,1,0.0,0.0
71,71,0.05534731729290976,0.1,0,391.0,687.0,0.0,642.0,1,0.0,0.0
72,72,0.5328647861045055,0.5,0,489.0,740.0,0.0,1191.0,1,0.0,0.0
73,73,0.6984870481051597,0.7,0,285.0,571.0,0.0,244.0,1,0.0,0.0
74,74,0.25676107588350305,0.3,0,407.0,705.0,0.0,908.0,1,0.0,0.0
75,75,-0.17945298497578954,-0.2,1,484.0,720.0,1.0,466.0,1,0.0,0.0
76,76,-0.3258700493734974,-0.3,1,378.0,828.0,1.0,654.0,1,0.0,0.0
77,77,-0.6432717687847673,-0.6,1,382.0,851.0,1.0,737.0,1,0.0,0.0
78,78,0.9171913197658417,0.9,0,254.0,724.0,0.0,152.0,1,0.0,0.0
79,79,0.24191945873578202,0.2,0,343.0,725.0,1.0,672.0,0,0.0,0.0
80,80,-0.26417813245789423,-0.3,1,321.0,970.0,1.0,899.0,1,0.0,0.0
81,81,0.23957945088705257,0.2,0,424.0,769.0,0.0,507.0,1,0.0,0.0
82,82,-0.7684940252690351,-0.8,1,256.0,983.0,1.0,431.0,1,0.0,0.0
83,83,0.27988259766709356,0.3,0,494.0,677.0,0.0,699.0,1,0.0,0.0
84,84,0.49073964946851256,0.5,0,481.0,786.0,0.0,563.0,1,0.0,0.0
85,85,-0.6769587547834226,-0.7,1,487.0,886.0,1.0,627.0,1,0.0,0.0
86,86,0.7120194428801754,0.7,0,287.0,802.0,0.0,241.0,1,0.0,0.0
87,87,0.4318880437890589,0.4,0,333.0,624.0,0.0,603.0,1,0.0,0.0
88,88,-0.2903693124132465,-0.3,1,274.0,708.0,1.0,878.0,1,0.0,0.0
89,89,-0.6344268915022022,-0.6,1,496.0,526.0,1.0,428.0,1,0.0,0.0
90,90,-0.6894412685021576,-0.7,1,282.0,653.0,1.0,315.0,1,0.0,0.0
91,91,-0.34076591118631905,-0.3,1,455.0,536.0,1.0,619.0,1,0.0,0.0
92,92,-0.5774934030692189,-0.6,1,496.0,666.0,1.0,238.0,1,0.0,0.0
93,93,-0.8033845267155153,-0.8,1,451.0,901.0,1.0,628.0,1,0.0,0.0
94,94,-0.09327813690361131,-0.1,1,292.0,915.0,1.0,3593.0,1,0.0,0.0
95,95,-0.5824913030000485,-0.6,1,348.0,547.0,1.0,285.0,1,0.0,0.0
96,96,0.8351643119977732,0.8,0,418.0,755.0,0.0,287.0,1,0.0,0.0
97,97,0.8872026985083978,0.9,0,383.0,761.0,0.0,386.0,1,0.0,0.0
98,98,0.6227729749481783,0.6,0,285.0,833.0,0.0,562.0,1,0.0,0.0
99,99,0.42269729100379183,0.4,0,409.0,907.0,0.0,304.0,1,0.0,0.0
100,100,-0.18545084174791526,-0.2,1,285.0,993.0,1.0,1242.0,1,0.0,0.0
101,101,-0.9052356507361876,-0.9,1,317.0,871.0,1.0,312.0,1,0.0,0.0
102,102,0.6964595195742915,0.7,0,362.0,942.0,0.0,486.0,1,0.0,0.0
103,103,-0.0031296544589636266,-0.0,1,426.0,934.0,1.0,810.0,1,0.0,0.0
104,104,-0.5453010344074558,-0.5,1,269.0,594.0,1.0,347.0,1,0.0,0.0
105,105,-0.845123677833838,-0.8,1,425.0,876.0,1.0,409.0,1,0.0,0.0
106,106,-0.2240469264419085,-0.2,1,422.0,865.0,1.0,403.0,1,0.0,0.0
107,107,-0.29210341988528143,-0.3,1,286.0,968.0,1.0,246.0,1,0.0,0.0
108,108,-0.13280347624413746,-0.1,1,405.0,660.0,1.0,2135.0,1,0.0,0.0
109,109,0.2833593633543845,0.3,0,346.0,654.0,0.0,490.0,1,0.0,0.0
110,110,-0.5616030013108013,-0.6,1,356.0,676.0,1.0,508.0,1,0.0,0.0
111,111,0.11243830954051481,0.1,0,251.0,664.0,1.0,1155.0,0,0.0,0.0
112,112,-0.3875037007662079,-0.4,1,476.0,980.0,1.0,504.0,1,0.0,0.0
113,113,0.6923815716844701,0.7,0,425.0,952.0,0.0,293.0,1,0.0,0.0
114,114,-0.4835019875432376,-0.5,1,423.0,940.0,1.0,257.0,1,0.0,0.0
115,115,-0.43891536562157296,-0.4,1,379.0,939.0,1.0,352.0,1,0.0,0.0
116,116,-0.34251738038479274,-0.3,1,405.0,676.0,1.0,479.0,1,0.0,0.0
117,117,-0.23158424006123313,-0.2,1,349.0,857.0,1.0,654.0,1,0.0,0.0
118,118,0.6964248893697818,0.7,0,477.0,631.0,0.0,282.0,1,0.0,0.0
119,119,-0.35900234335557935,-0.4,1,321.0,731.0,1.0,578.0,1,0.0,0.0
120,120,0.9532583619720001,1.0,0,277.0,757.0,0.0,186.0,1,0.0,0.0
121,121,0.205147335698876,0.2,0,349.0,530.0,0.0,761.0,1,0.0,0.0
122,122,-0.7015776414729036,-0.7,1,381.0,582.0,1.0,177.0,1,0.0,0.0
123,123,0.16942208476665477,0.2,0,360.0,660.0,0.0,1710.0,1,0.0,0.0
124,124,-0.108568627561902,-0.1,1,390.0,887.0,1.0,303.0,1,0.0,0.0
125,125,-0.9973463812594181,-1.0,1,275.0,992.0,1.0,273.0,1,0.0,0.0
126,126,-0.7843448002868771,-0.8,1,404.0,836.0,1.0,620.0,1,0.0,0.0
127,127,0.9945485537105376,1.0,0,259.0,837.0,0.0,244.0,1,0.0,0.0
128,128,0.534575972612237,0.5,0,325.0,615.0,0.0,410.0,1,0.0,0.0
129,129,0.06539435077522326,0.1,0,310.0,673.0,1.0,987.0,0,0.0,0.0
130,130,0.7787265189926367,0.8,0,457.0,585.0,0.0,358.0,1,0.0,0.0
131,131,-0.5009645184887899,-0.5,1,456.0,646.0,1.0,398.0,1,0.0,0.0
132,132,0.22704600053326307,0.2,0,471.0,960.0,0.0,1299.0,1,0.0,0.0
133,133,-0.34066332024601653,-0.3,1,322.0,690.0,1.0,858.0,1,0.0,0.0
134,134,0.9919215449096763,1.0,0,383.0,504.0,0.0,373.0,1,0.0,0.0
135,135,0.7708685759111022,0.8,0,347.0,779.0,0.0,294.0,1,0.0,0.0
136,136,-0.48030803502091857,-0.5,1,331.0,774.0,1.0,485.0,1,0.0,0.0
137,137,0.6667076320451613,0.7,0,402.0,516.0,0.0,202.0,1,0.0,0.0
138,138,-0.31504569495504,-0.3,1,306.0,608.0,1.0,496.0,1,0.0,0.0
