,trial,coherence,coherence_bin,correct_side,checker_onset,decision,decision_time,correct_decision,green_side,chosen_color
3914,3914,0.06226267873076341,0.1,1.0,125.0,0.0,5875.0,0,0.0,0.0
3915,3915,-0.08521761592491617,-0.1,1.0,125.0,1.0,5875.0,1,1.0,0.0
3916,3916,-0.4051373718668232,-0.4,0.0,125.0,0.0,5875.0,1,0.0,0.0
3917,3917,-0.08690048253197458,-0.1,1.0,125.0,1.0,5875.0,1,1.0,0.0
3918,3918,0.24723922569808587,0.2,1.0,125.0,1.0,5875.0,1,0.0,1.0
3919,3919,0.29368991709130976,0.3,1.0,125.0,1.0,5875.0,1,0.0,1.0
3920,3920,-0.520868396131974,-0.5,0.0,125.0,1.0,5875.0,0,0.0,1.0
3921,3921,0.7760257598433046,0.8,1.0,125.0,0.0,5875.0,0,0.0,0.0
3922,3922,-0.8323317901612151,-0.8,1.0,125.0,0.0,5875.0,0,1.0,1.0
3923,3923,-0.4861259982591608,-0.5,1.0,125.0,0.0,5875.0,0,1.0,1.0
3924,3924,0.5714996534008879,0.6,1.0,125.0,0.0,5875.0,0,0.0,0.0
3925,3925,-0.6331014158030307,-0.6,0.0,125.0,1.0,5875.0,0,0.0,1.0
3926,3926,-0.6489795122670379,-0.6,1.0,125.0,0.0,5875.0,0,1.0,1.0
3927,3927,-0.3302561667040744,-0.3,0.0,125.0,0.0,5875.0,1,0.0,0.0
3928,3928,-0.4698514636259732,-0.5,0.0,125.0,1.0,5875.0,0,0.0,1.0
3929,3929,0.5440945677868657,0.5,1.0,125.0,1.0,5875.0,1,0.0,1.0
3930,3930,0.6289674320033897,0.6,1.0,125.0,0.0,5875.0,0,0.0,0.0
3931,3931,-0.192093026471846,-0.2,0.0,125.0,1.0,5875.0,0,0.0,1.0
3932,3932,0.3686694869944408,0.4,0.0,125.0,0.0,5875.0,1,1.0,1.0
3933,3933,-0.7459571751571032,-0.7,0.0,125.0,1.0,5875.0,0,0.0,1.0
3934,3934,-0.29668017015792814,-0.3,1.0,125.0,0.0,5875.0,0,1.0,1.0
3935,3935,0.07190067912581777,0.1,1.0,125.0,1.0,5875.0,1,0.0,1.0
3936,3936,-0.5527820128262417,-0.6,0.0,125.0,0.0,5875.0,1,0.0,0.0
3937,3937,-0.5350477626158523,-0.5,0.0,125.0,1.0,5875.0,0,0.0,1.0
3938,3938,0.7065297439116726,0.7,1.0,125.0,1.0,5875.0,1,0.0,1.0
3939,3939,0.8997485849265033,0.9,1.0,125.0,1.0,2865.0,1,0.0,1.0
3940,3940,0.32178568917643935,0.3,0.0,125.0,1.0,5875.0,0,1.0,0.0
3941,3941,-0.29967174852660683,-0.3,1.0,125.0,0.0,5875.0,0,1.0,1.0
3942,3942,-0.1946153365074763,-0.2,0.0,125.0,1.0,5875.0,0,0.0,1.0
3943,3943,-0.5397375473022672,-0.5,0.0,125.0,0.0,5875.0,1,0.0,0.0
3944,3944,-0.7358541861943102,-0.7,0.0,125.0,0.0,5875.0,1,0.0,0.0
3945,3945,-0.5036054719904011,-0.5,1.0,125.0,1.0,5875.0,1,1.0,0.0
3946,3946,0.6961251613394052,0.7,0.0,125.0,0.0,5875.0,1,1.0,1.0
3947,3947,-0.792739405683776,-0.8,1.0,125.0,1.0,5875.0,1,1.0,0.0
3948,3948,-0.42112758186518356,-0.4,0.0,125.0,1.0,5875.0,0,0.0,1.0
3949,3949,-0.39309771340714583,-0.4,1.0,125.0,0.0,5875.0,0,1.0,1.0
3950,3950,0.023920746307067975,0.0,0.0,125.0,1.0,5875.0,0,1.0,0.0
3951,3951,-0.21938674533547908,-0.2,1.0,125.0,1.0,5875.0,1,1.0,0.0
3952,3952,0.6492082417628294,0.6,1.0,125.0,1.0,5875.0,1,0.0,1.0
3953,3953,0.8610961195397259,0.9,1.0,125.0,1.0,5875.0,1,0.0,1.0
3954,3954,0.01529381905712901,0.0,1.0,125.0,0.0,5875.0,0,0.0,0.0
3955,3955,-0.45837588820715536,-0.5,1.0,125.0,0.0,5875.0,0,1.0,1.0
3956,3956,-0.7264898703767053,-0.7,0.0,125.0,1.0,5875.0,0,0.0,1.0
3957,3957,-0.04184480577850591,-0.0,0.0,125.0,1.0,5875.0,0,0.0,1.0
3958,3958,-0.477886614198418,-0.5,1.0,125.0,1.0,5875.0,1,1.0,0.0
3959,3959,-0.010071941277855712,-0.0,1.0,125.0,0.0,5875.0,0,1.0,1.0
3960,3960,-0.6453043889251914,-0.6,0.0,125.0,1.0,5875.0,0,0.0,1.0
3961,3961,-0.3836511866328839,-0.4,1.0,125.0,0.0,5875.0,0,1.0,1.0
3962,3962,0.6597596102493669,0.7,1.0,125.0,1.0,5875.0,1,0.0,1.0
3963,3963,0.8535211515284588,0.9,0.0,125.0,1.0,5875.0,0,1.0,0.0
3964,3964,0.16762158927657544,0.2,1.0,125.0,1.0,5875.0,1,0.0,1.0
