,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
631,631,0.5617448933670353,0.6,0,379.0,755.0,0.0,1136.0,1
632,632,-0.03229895891765899,-0.0,1,280.0,692.0,1.0,1918.0,1
633,633,0.8445117740193073,0.8,0,449.0,903.0,0.0,768.0,1
634,634,0.027698955449777962,0.0,0,296.0,806.0,0.0,288.0,1
635,635,0.2598508502707544,0.3,0,323.0,756.0,0.0,1251.0,1
636,636,-0.25054569003162985,-0.3,1,288.0,681.0,1.0,2121.0,1
637,637,-0.5050056866364749,-0.5,1,403.0,639.0,1.0,1158.0,1
638,638,-0.7000308755372462,-0.7,1,388.0,619.0,1.0,793.0,1
639,639,0.2514823381868667,0.3,0,260.0,779.0,0.0,611.0,1
640,640,-0.387066479057671,-0.4,1,382.0,565.0,1.0,383.0,1
641,641,-0.46664145338436525,-0.5,1,496.0,660.0,1.0,1444.0,1
642,642,-0.14003204391934454,-0.1,1,461.0,825.0,1.0,3714.0,1
643,643,0.4515666018902955,0.5,0,320.0,513.0,0.0,1447.0,1
644,644,0.9299601888046496,0.9,0,315.0,734.0,0.0,1071.0,1
645,645,0.19808884778485658,0.2,0,317.0,857.0,1.0,2306.0,0
646,646,0.8388205408169405,0.8,0,290.0,655.0,0.0,335.0,1
647,647,-0.267923027420478,-0.3,1,450.0,951.0,1.0,659.0,1
648,648,-0.5743967273757675,-0.6,1,305.0,901.0,1.0,504.0,1
649,649,-0.9379314077416474,-0.9,1,481.0,793.0,1.0,616.0,1
650,650,0.28917029840421504,0.3,0,473.0,527.0,0.0,850.0,1
651,651,-0.2532465056799662,-0.3,1,302.0,915.0,1.0,973.0,1
652,652,0.5456948280419212,0.5,0,308.0,890.0,0.0,742.0,1
653,653,-0.8376458736581027,-0.8,1,404.0,915.0,1.0,201.0,1
654,654,-0.8841184129532214,-0.9,1,359.0,720.0,1.0,91.0,1
655,655,0.7518865858435217,0.8,0,459.0,712.0,0.0,419.0,1
656,656,0.4413969785117404,0.4,0,458.0,609.0,0.0,83.0,1
657,657,-0.7945270014734853,-0.8,1,273.0,630.0,1.0,1417.0,1
658,658,0.5180974833946266,0.5,0,432.0,814.0,0.0,974.0,1
659,659,-0.8657700152166297,-0.9,1,422.0,814.0,1.0,184.0,1
660,660,0.13844883340237701,0.1,0,291.0,819.0,0.0,3630.0,1
661,661,0.14021472116649458,0.1,0,278.0,922.0,1.0,240.0,0
662,662,-0.757695448642955,-0.8,1,277.0,812.0,1.0,371.0,1
663,663,0.35264418860383007,0.4,0,347.0,592.0,0.0,2361.0,1
664,664,-0.6364904662248303,-0.6,1,320.0,689.0,1.0,891.0,1
665,665,0.45483565849744556,0.5,0,265.0,612.0,0.0,573.0,1
666,666,0.7249669676766883,0.7,0,469.0,574.0,0.0,327.0,1
667,667,0.9114100703612755,0.9,0,297.0,684.0,0.0,689.0,1
668,668,-0.8349397329935286,-0.8,1,383.0,824.0,1.0,793.0,1
669,669,-0.6592476978508697,-0.7,1,337.0,853.0,1.0,1250.0,1
670,670,-0.18570169526669433,-0.2,1,380.0,904.0,1.0,986.0,1
671,671,-0.7156682517106718,-0.7,1,306.0,768.0,1.0,636.0,1
672,672,0.7391884851788417,0.7,0,357.0,717.0,0.0,296.0,1
673,673,-0.18584297961336782,-0.2,1,431.0,877.0,1.0,1752.0,1
674,674,-0.7957922679367031,-0.8,1,306.0,660.0,1.0,64.0,1
675,675,0.06474539629371767,0.1,0,289.0,501.0,0.0,4210.0,1
676,676,-0.4952215958846311,-0.5,1,394.0,945.0,1.0,221.0,1
677,677,-0.5085693758894188,-0.5,1,293.0,845.0,1.0,1032.0,1
678,678,0.8836266765068135,0.9,0,406.0,711.0,0.0,663.0,1
679,679,0.9016473435788697,0.9,0,367.0,685.0,0.0,478.0,1
680,680,0.43003759072851744,0.4,0,427.0,648.0,0.0,2625.0,1
681,681,0.48176613741934515,0.5,0,288.0,952.0,0.0,770.0,1
682,682,-0.40653145849095007,-0.4,1,365.0,540.0,1.0,595.0,1
683,683,0.3843004989089931,0.4,0,463.0,778.0,0.0,89.0,1
684,684,-0.6699730178536207,-0.7,1,390.0,605.0,1.0,1695.0,1
685,685,-0.9115800757962909,-0.9,1,488.0,622.0,1.0,340.0,1
686,686,0.08661187474653631,0.1,0,285.0,864.0,1.0,811.0,0
687,687,0.7465524107069477,0.7,0,393.0,751.0,0.0,1806.0,1
688,688,-0.05831563438143683,-0.1,1,257.0,885.0,1.0,668.0,1
689,689,-0.617452314003605,-0.6,1,414.0,726.0,1.0,200.0,1
690,690,-0.7068306084176494,-0.7,1,268.0,978.0,1.0,644.0,1
691,691,0.7814270279000217,0.8,0,455.0,960.0,0.0,1165.0,1
692,692,-0.5664741147965533,-0.6,1,370.0,697.0,1.0,243.0,1
693,693,-0.23225375047649588,-0.2,1,323.0,852.0,1.0,665.0,1
694,694,0.8432254674355373,0.8,0,348.0,715.0,0.0,1087.0,1
695,695,0.27571817466316206,0.3,0,451.0,757.0,0.0,3792.0,1
696,696,0.4050586957283113,0.4,0,388.0,717.0,0.0,1765.0,1
697,697,0.4758995554402088,0.5,0,392.0,952.0,0.0,446.0,1
698,698,0.948301019845821,0.9,0,482.0,533.0,0.0,965.0,1
699,699,0.21914476383664505,0.2,0,329.0,803.0,0.0,578.0,1
700,700,0.5927205877491224,0.6,0,442.0,953.0,0.0,1635.0,1
701,701,-0.6481365038350906,-0.6,1,258.0,779.0,1.0,163.0,1
702,702,0.8892074664090468,0.9,0,457.0,851.0,0.0,342.0,1
703,703,0.0985344335648557,0.1,0,298.0,569.0,1.0,643.0,0
704,704,-0.9913851983703006,-1.0,1,371.0,544.0,1.0,355.0,1
705,705,0.09302741014494065,0.1,0,464.0,761.0,1.0,255.0,0
706,706,-0.05943232998406223,-0.1,1,252.0,891.0,1.0,137.0,1
707,707,0.12849845356216583,0.1,0,318.0,510.0,1.0,1402.0,0
708,708,-0.19077946577203697,-0.2,1,272.0,548.0,1.0,830.0,1
709,709,-0.3489738272406011,-0.3,1,468.0,597.0,1.0,565.0,1
710,710,-0.09887795948281308,-0.1,1,312.0,820.0,1.0,668.0,1
711,711,-0.808529495181874,-0.8,1,486.0,910.0,1.0,224.0,1
712,712,-0.29700613727074754,-0.3,1,292.0,552.0,1.0,1006.0,1
713,713,0.3676194367585517,0.4,0,256.0,563.0,0.0,2071.0,1
714,714,0.8902026511166288,0.9,0,356.0,502.0,0.0,382.0,1
715,715,0.17244827918088523,0.2,0,489.0,785.0,0.0,376.0,1
716,716,-0.734288870481083,-0.7,1,407.0,824.0,1.0,189.0,1
717,717,-0.4436918130734153,-0.4,1,338.0,971.0,1.0,381.0,1
718,718,0.885743729679233,0.9,0,439.0,792.0,0.0,559.0,1
719,719,0.7874438332458249,0.8,0,489.0,634.0,0.0,447.0,1
720,720,0.7698270846475546,0.8,0,397.0,851.0,0.0,72.0,1
721,721,0.976091082049878,1.0,0,372.0,618.0,0.0,1590.0,1
722,722,0.4215174248761666,0.4,0,356.0,813.0,0.0,1511.0,1
723,723,-0.2308200153550759,-0.2,1,382.0,739.0,1.0,109.0,1
724,724,0.9471439141906635,0.9,0,396.0,964.0,0.0,440.0,1
725,725,0.49743295557068157,0.5,0,391.0,750.0,0.0,3109.0,1
726,726,0.7079337928218128,0.7,0,273.0,954.0,0.0,603.0,1
727,727,-0.3638379298320835,-0.4,1,324.0,847.0,1.0,549.0,1
728,728,0.5997903112209202,0.6,0,364.0,742.0,0.0,1044.0,1
729,729,-0.055852208754045396,-0.1,1,360.0,842.0,1.0,538.0,1
730,730,0.1617804500144051,0.2,0,320.0,901.0,0.0,1169.0,1
731,731,0.9727923508789089,1.0,0,330.0,839.0,0.0,851.0,1
732,732,-0.5876962904749687,-0.6,1,289.0,563.0,1.0,538.0,1
733,733,-0.2931141246836759,-0.3,1,442.0,567.0,1.0,51.0,1
734,734,0.8678961134856755,0.9,0,492.0,848.0,0.0,410.0,1
735,735,0.9443227639763441,0.9,0,318.0,779.0,0.0,813.0,1
736,736,0.08093256803709314,0.1,0,454.0,810.0,1.0,2976.0,0
737,737,-0.42880731913381886,-0.4,1,405.0,614.0,1.0,501.0,1
738,738,-0.48859320614288015,-0.5,1,319.0,979.0,1.0,1362.0,1
739,739,-0.060266296543365794,-0.1,1,385.0,825.0,1.0,1350.0,1
740,740,0.7086628454511978,0.7,0,438.0,590.0,0.0,342.0,1
741,741,-0.8898950389567448,-0.9,1,288.0,607.0,1.0,625.0,1
