,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
3303,3303,0.226828145635795,0.2,0,281.0,529.0,0.0,320.0,1,0.4250931066466179,0.0
3304,3304,0.6522562299453432,0.7,0,330.0,669.0,0.0,261.0,1,0.6419022354892489,0.0
3305,3305,0.9897842034917774,1.0,0,320.0,866.0,0.0,154.0,1,0.5619061076846263,0.0
3306,3306,0.5463499348976433,0.5,0,391.0,653.0,0.0,196.0,1,0.926667052351242,0.0
3307,3307,-0.7727523189340981,-0.8,1,315.0,764.0,1.0,301.0,1,0.24175731644373966,0.0
3308,3308,-0.11364528757321768,-0.1,1,328.0,547.0,1.0,425.0,1,0.6504548479478908,0.0
3309,3309,0.4906846522531987,0.5,0,318.0,907.0,0.0,255.0,1,0.7843583013894319,0.0
3310,3310,0.19677908150496015,0.2,0,425.0,801.0,0.0,254.0,1,0.8692709058106642,0.0
3311,3311,-0.051070786177097593,-0.1,1,256.0,906.0,1.0,298.0,1,0.6690249207006245,0.0
3312,3312,-0.3704424413958851,-0.4,1,406.0,868.0,1.0,576.0,1,0.07131465632268852,0.0
3313,3313,0.694980391396691,0.7,0,467.0,816.0,0.0,457.0,1,0.3095316074893014,0.0
3314,3314,-0.3202335386181554,-0.3,1,330.0,551.0,1.0,649.0,1,0.01300420278056691,0.0
3315,3315,-0.07826765466945473,-0.1,1,280.0,656.0,1.0,854.0,1,0.13696995843448623,0.0
3316,3316,-0.8692662883913167,-0.9,1,416.0,662.0,1.0,222.0,1,0.11935109210137529,0.0
3317,3317,0.49660694279263606,0.5,0,436.0,510.0,0.0,404.0,1,0.34790407935847556,0.0
3318,3318,-0.314391996093744,-0.3,1,471.0,679.0,1.0,280.0,1,0.18435782773233322,0.0
3319,3319,0.8390597399783206,0.8,0,457.0,551.0,0.0,192.0,1,0.5275051791628298,0.0
3320,3320,-0.10224806209933579,-0.1,1,471.0,515.0,1.0,674.0,1,0.29820768380153373,0.0
3321,3321,0.33491314552905305,0.3,0,330.0,740.0,0.0,290.0,1,0.3373632236081695,0.0
3322,3322,-0.9103055170290149,-0.9,1,478.0,645.0,1.0,217.0,1,0.09387809718576634,0.0
3323,3323,0.8277496632506922,0.8,0,492.0,805.0,0.0,113.0,1,0.7498273734747797,0.0
