,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,gain
4489,4489,0.06955460578084383,0.1,1,493.0,568.0,1.0,2689.0,1,0.05240381290995344
4490,4490,-0.6892821356403993,-0.7,1,410.0,578.0,0.0,232.0,0,0.49733067398453046
4491,4491,-0.1715662951606034,-0.2,1,419.0,811.0,0.0,3770.0,0,0.2651153185552969
4492,4492,-0.6525801242538043,-0.7,1,315.0,658.0,0.0,257.0,0,0.7830460724692113
4493,4493,0.8911102596509071,0.9,0,320.0,800.0,1.0,110.0,0,0.3897443227537034
4494,4494,-0.3051060497619458,-0.3,1,313.0,736.0,0.0,1641.0,0,0.2535679038003087
4495,4495,-0.17646028667489566,-0.2,1,491.0,759.0,0.0,320.0,0,0.7240233861814905
4496,4496,-0.9999248891059942,-1.0,1,480.0,885.0,0.0,195.0,0,0.3486675143315019
4497,4497,-0.9563450531249675,-1.0,1,398.0,634.0,0.0,228.0,0,0.19824600589254937
4498,4498,-0.3235566444401514,-0.3,1,275.0,861.0,0.0,784.0,0,0.5500545117388094
4499,4499,-0.1336954449167045,-0.1,1,330.0,871.0,0.0,1199.0,0,0.7228106955750164
4500,4500,0.5231514954750951,0.5,0,265.0,713.0,1.0,462.0,0,0.429988781718889
4501,4501,-0.1385921851940939,-0.1,1,345.0,722.0,0.0,2513.0,0,0.4037336231379607
4502,4502,0.4604361505531509,0.5,1,291.0,646.0,1.0,293.0,1,0.3526017678638905
4503,4503,-0.7552553944529081,-0.8,1,493.0,577.0,0.0,210.0,0,0.0562716964802491
4504,4504,0.5372026640764118,0.5,0,265.0,762.0,1.0,223.0,0,0.705797288624679
4505,4505,-0.6958447471551679,-0.7,1,445.0,612.0,0.0,223.0,0,0.8006284502981108
4506,4506,-0.28070419324483264,-0.3,1,348.0,727.0,0.0,3925.0,0,0.08652023846948276
4507,4507,0.8839286915785334,0.9,0,466.0,914.0,1.0,340.0,0,0.12406454642249454
4508,4508,0.16587430138169634,0.2,1,406.0,873.0,1.0,791.0,1,0.6473112832559283
4509,4509,-0.4857488128172953,-0.5,1,474.0,769.0,0.0,347.0,0,0.899797832651236
4510,4510,0.7232169005335245,0.7,0,355.0,979.0,1.0,246.0,0,0.4978201721823462
4511,4511,-0.7743904986946211,-0.8,1,308.0,946.0,0.0,106.0,0,0.4312201915074948
4512,4512,0.049107103234463656,0.0,1,345.0,591.0,0.0,4064.0,0,0.2748399813119974
4513,4513,-0.9308220842772259,-0.9,1,299.0,540.0,0.0,241.0,0,0.48575029795931524
4514,4514,0.23463322866075687,0.2,1,495.0,923.0,1.0,542.0,1,0.7515012960919015
4515,4515,0.7481776308030623,0.7,0,485.0,945.0,1.0,250.0,0,0.40475146245647464
4516,4516,0.7658319786999845,0.8,0,433.0,678.0,1.0,219.0,0,0.46495982291666793
4517,4517,0.587868015450765,0.6,0,311.0,915.0,1.0,224.0,0,0.8138182632348969
4518,4518,-0.4224023148556004,-0.4,1,383.0,633.0,0.0,434.0,0,0.0791928636444934
4519,4519,0.974912874441102,1.0,0,364.0,743.0,1.0,173.0,0,0.46388665073125745
4520,4520,0.0607360862547186,0.1,1,268.0,506.0,1.0,3746.0,1,0.4008792682346959
4521,4521,0.8871700293568017,0.9,0,490.0,553.0,1.0,247.0,0,0.3523179801284234
4522,4522,0.8498833873940339,0.8,0,356.0,509.0,1.0,185.0,0,0.8835065531971399
4523,4523,-0.22174455224469303,-0.2,1,418.0,795.0,0.0,587.0,0,0.45815446246311375
4524,4524,-0.3422957770779518,-0.3,1,475.0,647.0,0.0,538.0,0,0.4511942986142352
4525,4525,0.8416712062105915,0.8,0,461.0,648.0,1.0,261.0,0,0.46586791820648576
4526,4526,0.8465184121941638,0.8,0,315.0,702.0,1.0,283.0,0,0.6690451794097824
4527,4527,0.09969151266022602,0.1,1,402.0,843.0,1.0,3755.0,1,0.10821080544410155
4528,4528,-0.25364150178120903,-0.3,1,426.0,718.0,0.0,996.0,0,0.15242252595389427
4529,4529,-0.5357792720124406,-0.5,1,287.0,840.0,0.0,243.0,0,0.34716954289359436
4530,4530,0.23973974748019167,0.2,1,427.0,963.0,1.0,2880.0,1,0.06653278132331386
4531,4531,0.3820891244399789,0.4,1,497.0,676.0,1.0,2627.0,1,0.07257027660712889
4532,4532,0.6781464436455775,0.7,0,315.0,704.0,1.0,181.0,0,0.021614769868052774
4533,4533,0.20889651700534317,0.2,1,494.0,591.0,1.0,675.0,1,0.325920380014338
4534,4534,0.53655206306371,0.5,0,351.0,567.0,1.0,102.0,0,0.9787463682410017
4535,4535,-0.034301214309099715,-0.0,1,398.0,728.0,1.0,864.0,1,0.8439897916514575
4536,4536,-0.06707222131605528,-0.1,1,346.0,790.0,0.0,2724.0,0,0.36799405331109447
4537,4537,0.7983790109461202,0.8,0,403.0,522.0,1.0,325.0,0,0.47263671895472714
4538,4538,0.422477546463103,0.4,1,473.0,875.0,1.0,202.0,1,0.8478788362649525
4539,4539,0.8559515579129866,0.9,0,395.0,906.0,1.0,159.0,0,0.8510333188959949
4540,4540,0.7435599664670967,0.7,0,288.0,728.0,1.0,224.0,0,0.7311623851692843
4541,4541,-0.539476765136478,-0.5,1,261.0,735.0,0.0,194.0,0,0.8421532380435348
4542,4542,-0.9560470920158628,-1.0,1,384.0,701.0,0.0,125.0,0,0.16428853314601088
4543,4543,-0.6862535085733981,-0.7,1,299.0,738.0,0.0,243.0,0,0.10577231577815738
4544,4544,0.9516247487475049,1.0,0,395.0,870.0,1.0,215.0,0,0.6799013033440996
4545,4545,0.617197924922412,0.6,0,304.0,991.0,1.0,425.0,0,0.39478985836657776
4546,4546,0.6305957550651891,0.6,0,311.0,560.0,1.0,149.0,0,0.7857688948626235
4547,4547,-0.17624024317402331,-0.2,1,352.0,690.0,0.0,1168.0,0,0.5298885817385095
4548,4548,-0.6567837200789859,-0.7,1,334.0,525.0,0.0,391.0,0,0.9409690661349843
4549,4549,0.27423782621225645,0.3,1,278.0,853.0,1.0,99.0,1,0.9452008981596637
4550,4550,-0.5909503940621452,-0.6,1,344.0,973.0,0.0,963.0,0,0.05582851861366289
4551,4551,-0.09283189856444318,-0.1,1,288.0,688.0,0.0,284.0,0,0.35429255719213903
4552,4552,0.05159852797680542,0.1,1,468.0,889.0,0.0,3643.0,0,0.24961898162521534
4553,4553,0.6103256891724567,0.6,0,466.0,998.0,1.0,956.0,0,0.15133967919152058
4554,4554,0.8454343681449907,0.8,0,498.0,513.0,1.0,379.0,0,0.28676681272923554
4555,4555,-0.5340385614905383,-0.5,1,446.0,826.0,0.0,678.0,0,0.13659331574217926
4556,4556,0.8861421286269595,0.9,0,314.0,753.0,1.0,193.0,0,0.7401043658208938
4557,4557,0.5443853885223109,0.5,0,463.0,662.0,1.0,175.0,0,0.8430015536411346
4558,4558,-0.4986329158720859,-0.5,1,271.0,713.0,0.0,236.0,0,0.7769071810738248
4559,4559,0.23491368147082192,0.2,1,319.0,807.0,1.0,794.0,1,0.3159202515626308
4560,4560,0.4640669074869894,0.5,1,338.0,917.0,1.0,775.0,1,0.05524409626342841
4561,4561,0.503020903452142,0.5,0,339.0,920.0,1.0,631.0,0,0.25392040504936064
