,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,delay
1209,1209,0.14212873588984887,0.1,0,464.0,870.0,0.0,1996.0,1,257.36137923304534
1210,1210,-0.8140801918448723,-0.8,1,356.0,620.0,1.0,234.0,1,55.775942446538295
1211,1211,0.07028019223831738,0.1,0,371.0,978.0,1.0,621.0,0,278.9159423285048
1212,1212,0.4760955247221348,0.5,0,485.0,684.0,0.0,381.0,1,157.17134258335957
1213,1213,0.9730015297542742,1.0,0,273.0,811.0,0.0,206.0,1,8.099541073717731
1214,1214,-0.38758134801727806,-0.4,1,418.0,922.0,1.0,400.0,1,183.72559559481658
1215,1215,-0.7111579753530393,-0.7,1,284.0,624.0,1.0,292.0,1,86.65260739408822
1216,1216,0.8950181970799376,0.9,0,296.0,909.0,0.0,285.0,1,31.49454087601873
1217,1217,0.9137351014319279,0.9,0,443.0,578.0,0.0,239.0,1,25.87946957042162
1218,1218,-0.5668307476454841,-0.6,1,319.0,976.0,1.0,415.0,1,129.95077570635476
1219,1219,-0.7355349916545133,-0.7,1,432.0,512.0,1.0,296.0,1,79.339502503646
1220,1220,-0.58880293251792,-0.6,1,388.0,750.0,1.0,432.0,1,123.359120244624
1221,1221,0.31051269190093245,0.3,0,277.0,772.0,0.0,461.0,1,206.84619242972028
1222,1222,-0.642644113376468,-0.6,1,467.0,577.0,1.0,396.0,1,107.20676598705961
1223,1223,-0.16946255401011734,-0.2,1,279.0,618.0,1.0,613.0,1,249.1612337969648
1224,1224,-0.06461993968877144,-0.1,1,424.0,682.0,1.0,824.0,1,280.61401809336854
1225,1225,0.8762308927129145,0.9,0,272.0,679.0,0.0,349.0,1,37.130732186125634
1226,1226,0.1768967951310889,0.2,0,354.0,699.0,0.0,1037.0,1,246.93096146067333
1227,1227,-0.5073395989750118,-0.5,1,308.0,694.0,1.0,418.0,1,147.79812030749645
1228,1228,-0.760214407407175,-0.8,1,373.0,858.0,1.0,259.0,1,71.93567777784749
1229,1229,0.2131953614871296,0.2,0,456.0,786.0,0.0,518.0,1,236.04139155386113
1230,1230,-0.9844893993879327,-1.0,1,250.0,853.0,1.0,377.0,1,4.653180183620198
1231,1231,0.16629112848567051,0.2,0,298.0,543.0,0.0,489.0,1,250.11266145429886
1232,1232,0.6355348774300622,0.6,0,270.0,957.0,0.0,293.0,1,109.33953677098134
1233,1233,0.14000681779200508,0.1,0,311.0,611.0,0.0,888.0,1,257.99795466239846
1234,1234,0.25438332733102853,0.3,0,263.0,902.0,0.0,565.0,1,223.68500180069145
1235,1235,0.204192669716311,0.2,0,413.0,902.0,0.0,985.0,1,238.7421990851067
1236,1236,0.5674596896190658,0.6,0,392.0,531.0,0.0,387.0,1,129.76209311428028
1237,1237,0.7963322200889145,0.8,0,307.0,740.0,0.0,423.0,1,61.10033397332566
1238,1238,-0.37299140303680667,-0.4,1,440.0,904.0,1.0,836.0,1,188.102579088958
1239,1239,-0.45873411599724445,-0.5,1,451.0,867.0,1.0,412.0,1,162.37976520082665
1240,1240,0.06657009049557683,0.1,0,411.0,623.0,0.0,986.0,1,280.02897285132696
1241,1241,0.23827388854166176,0.2,0,461.0,890.0,0.0,589.0,1,228.51783343750148
1242,1242,0.10085519923379405,0.1,0,467.0,546.0,0.0,1077.0,1,269.7434402298618
1243,1243,0.160723059436906,0.2,0,254.0,765.0,0.0,1181.0,1,251.7830821689282
1244,1244,0.6032106549808383,0.6,0,422.0,928.0,0.0,580.0,1,119.03680350574852
1245,1245,0.690975547579783,0.7,0,458.0,872.0,0.0,600.0,1,92.70733572606511
1246,1246,-0.7693019534131949,-0.8,1,272.0,852.0,1.0,186.0,1,69.20941397604155
1247,1247,0.5343511135022831,0.5,0,376.0,644.0,0.0,310.0,1,139.69466594931507
1248,1248,-0.2844567862323364,-0.3,1,361.0,661.0,1.0,628.0,1,214.6629641302991
1249,1249,-0.725695721838314,-0.7,1,461.0,765.0,1.0,234.0,1,82.29128344850581
1250,1250,-0.5895628550666658,-0.6,1,406.0,799.0,1.0,315.0,1,123.13114348000025
1251,1251,0.7557946737669754,0.8,0,398.0,715.0,0.0,217.0,1,73.26159786990738
1252,1252,-0.12000543122759244,-0.1,1,426.0,930.0,0.0,874.0,0,263.99837063172225
1253,1253,-0.49172489618787485,-0.5,1,364.0,660.0,1.0,826.0,1,152.48253114363754
1254,1254,-0.774625854694371,-0.8,1,384.0,968.0,1.0,368.0,1,67.61224359168871
1255,1255,0.5101539794321872,0.5,0,316.0,823.0,0.0,491.0,1,146.95380617034382
1256,1256,-0.14794668581753312,-0.1,1,301.0,850.0,1.0,529.0,1,255.61599425474006
1257,1257,0.17926796813217027,0.2,0,393.0,723.0,0.0,424.0,1,246.2196095603489
1258,1258,0.10622620932151694,0.1,0,426.0,610.0,0.0,944.0,1,268.1321372035449
1259,1259,0.9455896004450333,0.9,0,265.0,580.0,0.0,235.0,1,16.32311986649002
1260,1260,-0.35659641877380377,-0.4,1,432.0,997.0,1.0,441.0,1,193.02107436785886
1261,1261,0.5148348318093265,0.5,0,483.0,514.0,0.0,383.0,1,145.54955045720203
1262,1262,-0.6412027168509269,-0.6,1,268.0,757.0,1.0,295.0,1,107.63918494472193
1263,1263,-0.004462002537620746,-0.0,1,417.0,998.0,0.0,1065.0,0,298.6613992387138
1264,1264,-0.4754797470730401,-0.5,1,323.0,854.0,1.0,503.0,1,157.35607587808798
1265,1265,0.9605142116654029,1.0,0,317.0,936.0,0.0,197.0,1,11.845736500379145
1266,1266,0.24077269680280078,0.2,0,316.0,646.0,0.0,1038.0,1,227.76819095915977
1267,1267,0.8532137125248498,0.9,0,373.0,759.0,0.0,268.0,1,44.03588624254506
1268,1268,-0.5945778197842009,-0.6,1,408.0,940.0,1.0,342.0,1,121.62665406473974
1269,1269,0.054118676497942,0.1,0,439.0,581.0,1.0,1360.0,0,283.7643970506174
1270,1270,-0.8608646858991646,-0.9,1,425.0,884.0,1.0,261.0,1,41.74059423025061
1271,1271,-0.6734613210572462,-0.7,1,399.0,954.0,1.0,707.0,1,97.96160368282614
1272,1272,-0.7064843350057524,-0.7,1,443.0,922.0,1.0,245.0,1,88.05469949827429
1273,1273,-0.7134509636299913,-0.7,1,351.0,704.0,1.0,355.0,1,85.96471091100261
1274,1274,0.057070670588228456,0.1,0,441.0,726.0,1.0,713.0,0,282.87879882353144
1275,1275,0.1514731180581126,0.2,0,323.0,825.0,0.0,532.0,1,254.55806458256623
1276,1276,-0.5524543230697041,-0.6,1,491.0,717.0,1.0,472.0,1,134.26370307908877
