,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,green_side,chosen_color
4894,4894,-0.6793913753992114,-0.7,0.0,277.0,609.0,0.0,154.0,1,0.0,0.0
4895,4895,-0.8990583800848053,-0.9,1.0,273.0,837.0,1.0,130.0,1,1.0,0.0
4896,4896,-0.3971587661213659,-0.4,1.0,498.0,873.0,1.0,399.0,1,1.0,0.0
4897,4897,0.3739127388691764,0.4,0.0,282.0,976.0,0.0,262.0,1,1.0,1.0
4898,4898,0.4591697560406266,0.5,1.0,339.0,708.0,1.0,393.0,1,0.0,1.0
4899,4899,0.8378597853598421,0.8,1.0,393.0,763.0,1.0,84.0,1,0.0,1.0
4900,4900,0.1565881380328794,0.2,1.0,346.0,984.0,1.0,900.0,1,0.0,1.0
4901,4901,-0.024456590381561005,-0.0,0.0,472.0,541.0,1.0,3987.0,0,0.0,1.0
4902,4902,0.21213990655435844,0.2,1.0,398.0,810.0,1.0,762.0,1,0.0,1.0
4903,4903,-0.8480769761083791,-0.8,1.0,345.0,517.0,1.0,268.0,1,1.0,0.0
4904,4904,-0.03862016158453174,-0.0,1.0,423.0,596.0,1.0,31.0,1,1.0,0.0
4905,4905,0.7739060965951395,0.8,1.0,344.0,965.0,1.0,171.0,1,0.0,1.0
4906,4906,0.7216112484342013,0.7,1.0,462.0,884.0,1.0,144.0,1,0.0,1.0
4907,4907,0.7132453071284536,0.7,0.0,300.0,793.0,0.0,137.0,1,1.0,1.0
4908,4908,0.6100375200387279,0.6,1.0,389.0,718.0,1.0,213.0,1,0.0,1.0
4909,4909,-0.003636227353604804,-0.0,0.0,301.0,747.0,1.0,3952.0,0,0.0,1.0
4910,4910,-0.7315181041537528,-0.7,0.0,491.0,697.0,0.0,132.0,1,0.0,0.0
4911,4911,-0.5050008878696215,-0.5,0.0,424.0,558.0,0.0,268.0,1,0.0,0.0
4912,4912,-0.2856736475080758,-0.3,0.0,394.0,823.0,0.0,383.0,1,0.0,0.0
4913,4913,-0.22546206659495216,-0.2,1.0,411.0,886.0,1.0,313.0,1,1.0,0.0
4914,4914,-0.883085927715137,-0.9,1.0,357.0,847.0,1.0,116.0,1,1.0,0.0
4915,4915,-0.004981567464116932,-0.0,0.0,457.0,616.0,0.0,2857.0,1,0.0,0.0
4916,4916,-0.5488927189703416,-0.5,0.0,304.0,742.0,0.0,164.0,1,0.0,0.0
4917,4917,0.2678475058999493,0.3,0.0,462.0,608.0,0.0,340.0,1,1.0,1.0
4918,4918,0.11076468372641146,0.1,0.0,283.0,533.0,0.0,1734.0,1,1.0,1.0
4919,4919,0.06934472528696711,0.1,0.0,390.0,983.0,0.0,307.0,1,1.0,1.0
4920,4920,-0.0676565361521031,-0.1,1.0,428.0,722.0,0.0,3850.0,0,1.0,1.0
4921,4921,0.30001094268400463,0.3,0.0,406.0,632.0,0.0,372.0,1,1.0,1.0
