,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
1308,1308,-0.21232157616995506,-0.2,1,391.0,723.0,1.0,-384.0,1,0.5084038653620715,0.0
1309,1309,-0.5989673943519302,-0.6,1,346.0,776.0,0.0,-592.0,0,0.5753061968913883,0.0
1310,1310,-0.9571345180704516,-1.0,1,352.0,503.0,1.0,215.0,1,0.4466890181716854,0.0
1311,1311,-0.7809558135316734,-0.8,1,466.0,925.0,1.0,-791.0,1,0.5188085392506905,0.0
1312,1312,0.19883828843136064,0.2,0,445.0,818.0,0.0,3737.0,1,0.34066535331571235,0.0
1313,1313,0.25396301166394797,0.3,0,419.0,883.0,0.0,3698.0,1,0.3052614328604788,0.0
1314,1314,-0.34810506345049586,-0.3,1,423.0,936.0,1.0,2181.0,1,0.3601693092545134,0.0
1315,1315,-0.08014935922447086,-0.1,1,314.0,913.0,1.0,3773.0,1,0.3392842188577706,0.0
1316,1316,0.7636343627573299,0.8,0,327.0,732.0,0.0,-579.0,1,0.5900307212968752,0.0
1317,1317,0.7884592482809418,0.8,0,321.0,597.0,0.0,172.0,1,0.46426843862654665,0.0
1318,1318,0.2964777417894491,0.3,0,315.0,852.0,0.0,-807.0,1,0.5971044846793956,0.0
1319,1319,0.8437962495597755,0.8,0,326.0,980.0,0.0,14.0,1,0.47118841491066515,0.0
1320,1320,0.06914638169973264,0.1,0,304.0,693.0,1.0,-547.0,0,0.5363516112467304,0.0
1321,1321,-0.9426007047336267,-0.9,1,304.0,576.0,1.0,90.0,1,0.46090081616459255,0.0
1322,1322,-0.0735102360755473,-0.1,1,423.0,891.0,1.0,-1234.0,1,0.5777940476935669,0.0
1323,1323,-0.17686859715060832,-0.2,1,268.0,746.0,1.0,-84.0,1,0.45993322876842535,0.0
1324,1324,-0.5427181891481516,-0.5,1,402.0,858.0,1.0,-930.0,1,0.5459388404815436,0.0
1325,1325,-0.5077129741303259,-0.5,1,444.0,555.0,1.0,261.0,1,0.3655358536786269,0.0
1326,1326,-0.05823343083746502,-0.1,1,399.0,549.0,1.0,3442.0,1,0.43975467358474396,0.0
1327,1327,0.12991101624327372,0.1,0,403.0,603.0,0.0,3994.0,1,0.33072571234732345,0.0
1328,1328,-0.23307920826886663,-0.2,1,303.0,648.0,1.0,819.0,1,0.37366035486227794,0.0
1329,1329,0.7909230986816715,0.8,0,287.0,700.0,0.0,283.0,1,0.4107736873104123,0.0
1330,1330,0.33258174864309664,0.3,0,403.0,768.0,1.0,3829.0,0,0.377625539176796,0.0
1331,1331,-0.2552900672543921,-0.3,1,282.0,991.0,1.0,677.0,1,0.5831463003628206,0.0
1332,1332,0.06969131926559036,0.1,0,412.0,974.0,1.0,904.0,0,0.5402341675144868,0.0
1333,1333,0.8959557809713308,0.9,0,495.0,559.0,0.0,-724.0,1,0.5847256433708421,0.0
