,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,inputBias
58,58,-0.5912591958303117,-0.6,1,292.0,786.0,1.0,132.0,1,0.3180600397999166
59,59,0.9081172429797941,0.9,0,366.0,574.0,0.0,130.0,1,0.390776289849079
60,60,0.8105795522933743,0.8,0,270.0,726.0,0.0,124.0,1,0.4076983358201727
61,61,-0.6682209152201035,-0.7,1,493.0,729.0,1.0,-282.0,1,0.47706921603172653
62,62,0.18206642935664608,0.2,0,320.0,563.0,0.0,147.0,1,0.41754101723089787
63,63,-0.9839736939240717,-1.0,1,446.0,634.0,1.0,-30.0,1,0.42668651861335005
64,64,-0.5086752966788497,-0.5,1,399.0,912.0,1.0,239.0,1,0.39981901327242664
65,65,-0.5372939534327179,-0.5,1,411.0,885.0,1.0,84.0,1,0.28967351671302144
66,66,-0.03417334912956549,-0.0,1,336.0,537.0,1.0,-113.0,1,0.4363825387252994
67,67,0.5892729717644576,0.6,0,256.0,987.0,0.0,207.0,1,0.21115286250343188
68,68,0.10692107676945395,0.1,0,302.0,948.0,0.0,260.0,1,0.3783651982923143
69,69,0.18938496088385603,0.2,0,348.0,826.0,1.0,-764.0,0,0.49758566260675846
70,70,0.32778291219982325,0.3,0,292.0,561.0,0.0,327.0,1,0.41325830352931303
71,71,0.15276956692030752,0.2,0,323.0,813.0,1.0,44.0,0,0.47175720665943355
72,72,0.6854764914692488,0.7,0,469.0,983.0,1.0,-692.0,0,0.41996608497947696
73,73,-0.4395155623080653,-0.4,1,391.0,548.0,1.0,-129.0,1,0.40570460386618545
74,74,-0.219469901654459,-0.2,1,404.0,671.0,1.0,315.0,1,0.2403152383560977
75,75,-0.7951561711295816,-0.8,1,259.0,974.0,1.0,-403.0,1,0.48463260894158317
76,76,-0.3354357557715306,-0.3,1,495.0,542.0,1.0,413.0,1,0.42396325050049083
77,77,-0.11716818385030914,-0.1,1,430.0,766.0,0.0,264.0,0,0.3313920829023188
78,78,0.2162288981365914,0.2,0,369.0,650.0,0.0,461.0,1,0.32593752512484425
79,79,0.4753897053387546,0.5,0,342.0,949.0,0.0,279.0,1,0.25776004275392167
80,80,0.8410352556402865,0.8,0,355.0,633.0,0.0,102.0,1,0.36856598020039255
81,81,0.7775005618921134,0.8,0,257.0,898.0,0.0,155.0,1,0.29843725851434194
82,82,-0.27444045090920133,-0.3,1,368.0,717.0,1.0,225.0,1,0.3409074655316382
83,83,0.6031722970804976,0.6,0,409.0,967.0,0.0,284.0,1,0.2013501977114722
84,84,-0.23736922465160637,-0.2,1,453.0,801.0,1.0,256.0,1,0.21883045462669307
85,85,0.7645110381072797,0.8,0,319.0,838.0,0.0,253.0,1,0.27240666610772324
86,86,-0.1808116376081068,-0.2,1,402.0,979.0,1.0,-691.0,1,0.47230134248104577
87,87,0.5421210166368624,0.5,0,357.0,562.0,1.0,-539.0,0,0.4539099919651403
88,88,-0.06154582720493296,-0.1,1,379.0,654.0,1.0,67.0,1,0.35413013403531446
89,89,0.9384226055562375,0.9,0,380.0,871.0,0.0,129.0,1,0.30330430376849254
90,90,0.9395367079981454,0.9,0,495.0,951.0,0.0,404.0,1,0.24863297625173822
91,91,0.7882799322873306,0.8,0,401.0,856.0,0.0,163.0,1,0.3224990380901199
92,92,-0.8171936188344178,-0.8,1,276.0,737.0,1.0,-513.0,1,0.47540707743397953
93,93,0.5515854604116783,0.6,0,350.0,795.0,0.0,375.0,1,0.2591313496652605
94,94,-0.9449246269733917,-0.9,1,380.0,842.0,1.0,108.0,1,0.35295999214251494
95,95,-0.9122924105836443,-0.9,1,415.0,698.0,1.0,147.0,1,0.22756310146508343
96,96,0.9140690356040786,0.9,0,484.0,594.0,0.0,212.0,1,0.3184348052129533
97,97,-0.7105354745239276,-0.7,1,298.0,563.0,1.0,99.0,1,0.35496019005948864
98,98,-0.7440006482606456,-0.7,1,455.0,864.0,1.0,111.0,1,0.23018330168679663
99,99,0.9070595252902767,0.9,0,290.0,636.0,0.0,204.0,1,0.32955142509537616
100,100,-0.6075141361272218,-0.6,1,320.0,801.0,1.0,169.0,1,0.2750702668725618
101,101,0.3867360410084395,0.4,0,304.0,589.0,0.0,297.0,1,0.34619911247783197
102,102,0.8735070332822101,0.9,0,304.0,788.0,0.0,88.0,1,0.21137701641364134
103,103,0.8941750657893233,0.9,0,436.0,948.0,0.0,166.0,1,0.22734210041204528
104,104,0.8242409634074661,0.8,0,348.0,864.0,1.0,-302.0,0,0.39667520047945504
105,105,0.12638770315642978,0.1,0,250.0,736.0,0.0,594.0,1,0.3829964036239176
106,106,-0.6137210687618304,-0.6,1,449.0,517.0,1.0,244.0,1,0.3157343356638379
107,107,0.10714603343192985,0.1,0,294.0,674.0,1.0,1002.0,0,0.3202957900791401
108,108,-0.6116172997391407,-0.6,1,303.0,504.0,1.0,503.0,1,0.4275026513613235
109,109,-0.3483729693033142,-0.3,1,472.0,749.0,1.0,179.0,1,0.2259674766058923
110,110,0.9494951429322316,0.9,0,354.0,737.0,0.0,189.0,1,0.21072378671757402
111,111,0.7769591363916091,0.8,0,391.0,628.0,0.0,121.0,1,0.3641344769948913
112,112,0.017629169613545326,0.0,0,357.0,625.0,0.0,758.0,1,0.26823771039261485
113,113,-0.07125967609960382,-0.1,1,390.0,900.0,1.0,570.0,1,0.4044491165653473
114,114,0.8105926463412552,0.8,0,495.0,572.0,0.0,73.0,1,0.423875558533515
