,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
3208,3208,0.2507313118650507,0.3,0,334.0,702.0,0.0,324.0,1,0.596539934825703,0.0
3209,3209,-0.24244453168933644,-0.2,1,479.0,950.0,1.0,1061.0,1,0.5267148597518881,0.0
3210,3210,0.03453057883640143,0.0,0,466.0,775.0,1.0,269.0,0,1.20475793867949,0.0
3211,3211,-0.3881147150231745,-0.4,1,474.0,790.0,1.0,156.0,1,0.8693974668970599,0.0
3212,3212,-0.22116443664353147,-0.2,1,370.0,911.0,1.0,249.0,1,0.7721243569747512,0.0
3213,3213,0.07000393215300127,0.1,0,446.0,753.0,0.0,191.0,1,0.6449023497457708,0.0
3214,3214,-0.45023055250914945,-0.5,1,467.0,696.0,1.0,237.0,1,0.8752505565492533,0.0
3215,3215,-0.5009789762376495,-0.5,1,338.0,749.0,1.0,273.0,1,0.7215460536719468,0.0
3216,3216,0.41019494849112803,0.4,0,400.0,546.0,0.0,134.0,1,1.1130088837538732,0.0
3217,3217,-0.3993067198630844,-0.4,1,359.0,923.0,1.0,608.0,1,0.5502969591060155,0.0
3218,3218,0.040894805869607254,0.0,0,484.0,678.0,1.0,218.0,0,0.904039582392917,0.0
3219,3219,0.5638745326423662,0.6,0,333.0,731.0,0.0,166.0,1,0.9670735325931987,0.0
3220,3220,0.146878212094947,0.1,0,378.0,683.0,0.0,209.0,1,1.2336916745565438,0.0
3221,3221,-0.31193468395632484,-0.3,1,308.0,798.0,1.0,274.0,1,1.1643486480585223,0.0
3222,3222,-0.19530222331923208,-0.2,1,281.0,778.0,0.0,251.0,0,0.8895435957266369,0.0
3223,3223,-0.2367076495518674,-0.2,1,313.0,971.0,1.0,546.0,1,0.8868556752852073,0.0
3224,3224,0.1263033848748074,0.1,0,362.0,654.0,0.0,154.0,1,1.0829652272285317,0.0
3225,3225,-0.7216886115427887,-0.7,1,462.0,732.0,1.0,296.0,1,0.742389727643657,0.0
3226,3226,-0.4071408737384643,-0.4,1,338.0,734.0,1.0,278.0,1,1.1579347705666874,0.0
3227,3227,0.03787541652722637,0.0,0,403.0,615.0,0.0,1112.0,1,0.5555045832916983,0.0
3228,3228,0.14881979060456407,0.1,0,278.0,787.0,0.0,205.0,1,0.5414988977657245,0.0
3229,3229,0.10337956109094248,0.1,0,362.0,514.0,1.0,254.0,0,0.7626800463872547,0.0
3230,3230,-0.1002391901952484,-0.1,1,326.0,570.0,0.0,1054.0,0,0.5120756246123523,0.0
3231,3231,-0.08551114986321551,-0.1,1,331.0,921.0,0.0,438.0,0,0.7794104366990019,0.0
3232,3232,0.050852729462461,0.1,0,441.0,606.0,0.0,693.0,1,0.519694768996269,0.0
3233,3233,-0.37220794050842887,-0.4,1,414.0,632.0,1.0,634.0,1,0.6724041990631344,0.0
3234,3234,0.6387847592148035,0.6,0,326.0,970.0,0.0,144.0,1,0.5710755929829727,0.0
3235,3235,0.656348858035789,0.7,0,332.0,788.0,0.0,190.0,1,1.229874086653889,0.0
3236,3236,-0.4483292968532371,-0.4,1,326.0,536.0,1.0,198.0,1,1.0189659236705595,0.0
3237,3237,0.7500342744900372,0.8,0,258.0,797.0,0.0,95.0,1,1.1750748844968708,0.0
3238,3238,0.6085757590922909,0.6,0,405.0,768.0,0.0,167.0,1,1.0144348594034467,0.0
3239,3239,-0.9385284853524323,-0.9,1,467.0,864.0,1.0,249.0,1,1.1353701451022786,0.0
3240,3240,0.8815775095673961,0.9,0,327.0,637.0,0.0,146.0,1,1.2437393698563837,0.0
3241,3241,-0.7172826587535965,-0.7,1,377.0,640.0,1.0,213.0,1,0.5544493662854214,0.0
3242,3242,0.8160193191874268,0.8,0,362.0,541.0,0.0,177.0,1,0.5316868169403245,0.0
3243,3243,0.6229644305589654,0.6,0,324.0,679.0,0.0,-333.0,1,0.6522586201453491,0.0
3244,3244,-0.33150581903202103,-0.3,1,442.0,988.0,1.0,430.0,1,0.6469469282363183,0.0
3245,3245,0.245238335047544,0.2,0,302.0,552.0,0.0,296.0,1,0.6589144295222473,0.0
3246,3246,-0.15212223482601006,-0.2,1,392.0,554.0,0.0,304.0,0,1.036998163867108,0.0
3247,3247,0.09529796086814568,0.1,0,275.0,692.0,0.0,193.0,1,0.959550665400529,0.0
3248,3248,-0.7513700025770598,-0.8,1,486.0,898.0,1.0,236.0,1,0.8208270671670499,0.0
